AREFNO,date,month,day,hour,mode,severity,light,sex,ageband,lad16nm,text,easting,northing,long,lat
110232682016,2016-11-16,Nov,Wed,22,Pedestrian,Slight,Dark,Male,21-25,Tameside,At 22:11 on Wednesday 16 November 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,394493,399241,-2.0844673629381916,53.489849509172316
110233432016,2016-11-02,Nov,Wed,8,Car,Slight,Daylight,Female,36-45,Tameside,At 08:31 on Wednesday 02 November 2016 a slight collision occured involving 2 vehicle(s) and  2 casualtie(s).,393234,400230,-2.1034640654990926,53.49872407928212
110233432016,2016-11-02,Nov,Wed,8,Car,Slight,Daylight,Female,36-45,Tameside,At 08:31 on Wednesday 02 November 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,393234,400230,-2.1034640654990926,53.49872407928212
110234332016,2016-11-26,Nov,Sat,23,Powered 2 Wheeler,Slight,Dark,Male,26-35,Tameside,At 23:00 on Saturday 26 November 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,394597,395250,-2.082829829864174,53.453977752112365
110234892016,2016-11-21,Nov,Mon,15,Pedestrian,Slight,Dark,Male,11-15,Tameside,At 15:35 on Monday 21 November 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,394946,401456,-2.077676475827897,53.50976345405078
110234942016,2016-11-09,Nov,Wed,13,Car,Slight,Daylight,Female,36-45,Tameside,At 13:50 on Wednesday 09 November 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,393638,398836,-2.0973451353737276,53.48619937380543
110234942016,2016-11-09,Nov,Wed,13,Bus or Coach,Slight,Daylight,Male,56-65,Tameside,At 13:50 on Wednesday 09 November 2016 a slight collision occured involving 2 vehicle(s) and  2 casualtie(s).,393638,398836,-2.0973451353737276,53.48619937380543
110235332016,2016-11-16,Nov,Wed,16,Pedestrian,Slight,Dark,Male,11-15,Tameside,At 16:44 on Wednesday 16 November 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,394962,399627,-2.077405166303061,53.493323837007324
110235332016,2016-11-16,Nov,Wed,16,Pedestrian,Slight,Dark,Male,6-10,Tameside,At 16:44 on Wednesday 16 November 2016 a slight collision occured involving 1 vehicle(s) and  2 casualtie(s).,394962,399627,-2.077405166303061,53.493323837007324
110237692016,2016-11-24,Nov,Thurs,11,Car,Slight,Dark,Female,26-35,Tameside,At 11:43 on Thursday 24 November 2016 a slight collision occured involving 5 vehicle(s) and  2 casualtie(s).,394240,399272,-2.088281032840088,53.49012538609476
110237692016,2016-11-24,Nov,Thurs,11,Car,Slight,Dark,Male,Over 75,Tameside,At 11:43 on Thursday 24 November 2016 a slight collision occured involving 5 vehicle(s) and  1 casualtie(s).,394240,399272,-2.088281032840088,53.49012538609476
110237832016,2016-11-02,Nov,Wed,15,Car,Slight,Dark,Female,26-35,Tameside,At 15:20 on Wednesday 02 November 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,390595,395522,-2.1431032834080304,53.45636550045628
110239132016,2016-11-26,Nov,Sat,20,Pedestrian,Serious,Dark,Female,11-15,Tameside,At 20:00 on Saturday 26 November 2016 a serious collision occured involving 1 vehicle(s) and  1 casualtie(s).,392580,395397,-2.113206927848321,53.455274071849225
110239962016,2016-11-29,Nov,Tues,16,Car,Slight,Dark,Female,16-20,Tameside,At 16:00 on Tuesday 29 November 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,393422,397726,-2.100576638385597,53.47621952509792
110240082016,2016-11-28,Nov,Mon,23,Pedal Cycle,Slight,Dark,Male,46-55,Tameside,At 23:15 on Monday 28 November 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,393491,399458,-2.099573582782525,53.49178833420298
110240692016,2016-11-30,Nov,Wed,11,Pedestrian,Slight,Daylight,Female,66-75,Tameside,At 11:20 on Wednesday 30 November 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,397020,402392,-2.046412753305061,53.51819287590892
110241322016,2016-11-29,Nov,Tues,6,Pedal Cycle,Serious,Dark,Male,46-55,Tameside,At 06:00 on Tuesday 29 November 2016 a serious collision occured involving 2 vehicle(s) and  1 casualtie(s).,393953,399697,-2.09261492683333,53.49394217600228
110241572016,2016-12-01,Dec,Thurs,18,Pedestrian,Slight,Dark,Female,26-35,Tameside,At 18:01 on Thursday 01 December 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,394546,395400,-2.0836004847611336,53.45532548521778
110241922016,2016-11-29,Nov,Tues,18,Car,Slight,Dark,Female,21-25,Tameside,At 18:37 on Tuesday 29 November 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,394291,398947,-2.0875063505196767,53.48720471911382
110242252016,2016-11-23,Nov,Wed,15,Car,Slight,Dark,Female,16-20,Tameside,At 15:15 on Wednesday 23 November 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,390094,398624,-2.150747082083521,53.484238285736026
110243192016,2016-12-02,Dec,Fri,11,Pedestrian,Slight,Daylight,Male,11-15,Tameside,At 11:45 on Friday 02 December 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,394112,399096,-2.0902068308407955,53.48854198124583
110243382016,2016-12-01,Dec,Thurs,9,Pedestrian,Serious,Dark,Male,0-5,Tameside,At 09:00 on Thursday 01 December 2016 a serious collision occured involving 1 vehicle(s) and  1 casualtie(s).,388941,398577,-2.1681205040302123,53.48379261594176
110243832016,2016-11-29,Nov,Tues,8,Car,Slight,Dark,Female,46-55,Tameside,At 08:30 on Tuesday 29 November 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,393116,400223,-2.1052427167707135,53.49865960381382
110243832016,2016-11-29,Nov,Tues,8,Pedestrian,Slight,Dark,Female,16-20,Tameside,At 08:30 on Tuesday 29 November 2016 a slight collision occured involving 1 vehicle(s) and  2 casualtie(s).,393116,400223,-2.1052427167707135,53.49865960381382
110244002016,2016-12-04,Dec,Sun,13,Powered 2 Wheeler,Slight,Daylight,Male,26-35,Tameside,At 13:14 on Sunday 04 December 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,389372,398285,-2.1616156400388293,53.48117697788644
110244002016,2016-12-04,Dec,Sun,13,Powered 2 Wheeler,Serious,Daylight,Female,26-35,Tameside,At 13:14 on Sunday 04 December 2016 a serious collision occured involving 2 vehicle(s) and  2 casualtie(s).,389372,398285,-2.1616156400388293,53.48117697788644
110244022016,2016-11-30,Nov,Wed,15,Pedestrian,Slight,Daylight,Female,11-15,Tameside,At 15:20 on Wednesday 30 November 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,394830,395269,-2.0793214487252794,53.45415092151812
110244932016,2016-12-01,Dec,Thurs,21,Pedestrian,Slight,Dark,Male,46-55,Tameside,At 21:41 on Thursday 01 December 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,394899,400387,-2.0783673853019584,53.5001544016569
110245122016,2016-12-07,Dec,Wed,20,Car,Slight,Dark,Male,36-45,Tameside,At 20:50 on Wednesday 07 December 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,393991,397650,-2.0920022225811428,53.475543330418255
110245122016,2016-12-07,Dec,Wed,20,Car,Slight,Dark,Female,36-45,Tameside,At 20:50 on Wednesday 07 December 2016 a slight collision occured involving 2 vehicle(s) and  2 casualtie(s).,393991,397650,-2.0920022225811428,53.475543330418255
110245122016,2016-12-07,Dec,Wed,20,Car,Slight,Dark,Male,16-20,Tameside,At 20:50 on Wednesday 07 December 2016 a slight collision occured involving 2 vehicle(s) and  3 casualtie(s).,393991,397650,-2.0920022225811428,53.475543330418255
110245122016,2016-12-07,Dec,Wed,20,Car,Slight,Dark,Male,16-20,Tameside,At 20:50 on Wednesday 07 December 2016 a slight collision occured involving 2 vehicle(s) and  4 casualtie(s).,393991,397650,-2.0920022225811428,53.475543330418255
110245202016,2016-12-06,Dec,Tues,17,Taxi,Slight,Dark,Male,46-55,Tameside,At 17:30 on Tuesday 06 December 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,393682,399522,-2.096696107785132,53.49236596186669
110245202016,2016-12-06,Dec,Tues,17,Taxi,Slight,Dark,Male,21-25,Tameside,At 17:30 on Tuesday 06 December 2016 a slight collision occured involving 2 vehicle(s) and  2 casualtie(s).,393682,399522,-2.096696107785132,53.49236596186669
110245362016,2016-12-07,Dec,Wed,11,Pedestrian,Slight,Daylight,Male,Over 75,Tameside,At 11:13 on Wednesday 07 December 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,393677,399124,-2.096763304727247,53.48878851482021
110245942016,2016-12-09,Dec,Fri,12,Car,Slight,Daylight,Female,26-35,Tameside,At 12:30 on Friday 09 December 2016 a slight collision occured involving 4 vehicle(s) and  1 casualtie(s).,394910,400419,-2.0782020896228204,53.50044213930404
110245942016,2016-12-09,Dec,Fri,12,Car,Slight,Daylight,Male,66-75,Tameside,At 12:30 on Friday 09 December 2016 a slight collision occured involving 4 vehicle(s) and  2 casualtie(s).,394910,400419,-2.0782020896228204,53.50044213930404
110246412016,2016-12-09,Dec,Fri,10,Car,Slight,Daylight,Female,56-65,Tameside,At 10:21 on Friday 09 December 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,398412,394490,-2.0253763446020026,53.44717264875465
110246992016,2016-12-10,Dec,Sat,12,Powered 2 Wheeler,Slight,Daylight,Male,21-25,Tameside,At 12:55 on Saturday 10 December 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,392869,395517,-2.108857570855539,53.45635674032651
110247872016,2016-12-13,Dec,Tues,15,Pedestrian,Serious,Dark,Female,26-35,Tameside,At 15:00 on Tuesday 13 December 2016 a serious collision occured involving 1 vehicle(s) and  1 casualtie(s).,396293,398408,-2.0573285039305196,53.48237830572843
110248002016,2016-12-15,Dec,Thurs,8,Car,Slight,Dark,Male,36-45,Tameside,At 08:15 on Thursday 15 December 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,393870,399512,-2.0938622995153913,53.49227834271139
110248382016,2016-12-14,Dec,Wed,20,Car,Slight,Dark,Male,46-55,Tameside,At 20:13 on Wednesday 14 December 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,395560,395013,-2.068324770089843,53.45185668954068
110248612016,2016-12-15,Dec,Thurs,16,Car,Slight,Dark,Female,36-45,Tameside,At 16:25 on Thursday 15 December 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,395263,394419,-2.0727878505649593,53.446514884391064
110248612016,2016-12-15,Dec,Thurs,16,Car,Slight,Dark,Male,6-10,Tameside,At 16:25 on Thursday 15 December 2016 a slight collision occured involving 2 vehicle(s) and  2 casualtie(s).,395263,394419,-2.0727878505649593,53.446514884391064
110248672016,2016-12-15,Dec,Thurs,7,Pedestrian,Slight,Dark,Male,11-15,Tameside,At 07:38 on Thursday 15 December 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,390155,397738,-2.1497997411978487,53.47627571728031
110248682016,2016-12-16,Dec,Fri,14,Pedestrian,Slight,Daylight,Female,11-15,Tameside,At 14:50 on Friday 16 December 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,400501,396148,-1.9939214719801877,53.4620781483961
110248752016,2016-12-15,Dec,Thurs,18,Powered 2 Wheeler,Slight,Dark,Male,21-25,Tameside,At 18:15 on Thursday 15 December 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,392567,395408,-2.113402962033521,53.45537275878335
110249082016,2016-12-17,Dec,Sat,11,Car,Slight,Daylight,Male,46-55,Tameside,At 11:55 on Saturday 17 December 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,394482,401930,-2.08468144948706,53.514019179214415
110249082016,2016-12-17,Dec,Sat,11,Car,Slight,Daylight,Female,46-55,Tameside,At 11:55 on Saturday 17 December 2016 a slight collision occured involving 2 vehicle(s) and  2 casualtie(s).,394482,401930,-2.08468144948706,53.514019179214415
110249332016,2016-12-16,Dec,Fri,10,Pedestrian,Serious,Daylight,Female,26-35,Tameside,At 10:49 on Friday 16 December 2016 a serious collision occured involving 1 vehicle(s) and  1 casualtie(s).,395445,397596,-2.070094821791806,53.475072859457974
110249332016,2016-12-16,Dec,Fri,10,Pedestrian,Slight,Daylight,Male,0-5,Tameside,At 10:49 on Friday 16 December 2016 a slight collision occured involving 1 vehicle(s) and  2 casualtie(s).,395445,397596,-2.070094821791806,53.475072859457974
110249362016,2016-12-16,Dec,Fri,7,Car,Slight,Dark,Female,46-55,Tameside,At 07:19 on Friday 16 December 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,395190,398562,-2.0739518705008915,53.48375335835966
110249362016,2016-12-16,Dec,Fri,7,Car,Slight,Dark,Female,36-45,Tameside,At 07:19 on Friday 16 December 2016 a slight collision occured involving 2 vehicle(s) and  2 casualtie(s).,395190,398562,-2.0739518705008915,53.48375335835966
110249802016,2016-12-19,Dec,Mon,9,Pedestrian,Slight,Daylight,Male,56-65,Tameside,At 09:55 on Monday 19 December 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,393665,398639,-2.0969341921825464,53.48442898770334
110250132016,2016-12-26,Dec,Mon,21,Car,Slight,Dark,Male,21-25,Tameside,At 21:54 on Monday 26 December 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,393474,399031,-2.0998207741097232,53.48795007012616
110250132016,2016-12-26,Dec,Mon,21,Car,Slight,Dark,Male,21-25,Tameside,At 21:54 on Monday 26 December 2016 a slight collision occured involving 2 vehicle(s) and  2 casualtie(s).,393474,399031,-2.0998207741097232,53.48795007012616
110250132016,2016-12-26,Dec,Mon,21,Taxi,Slight,Dark,Male,46-55,Tameside,At 21:54 on Monday 26 December 2016 a slight collision occured involving 2 vehicle(s) and  3 casualtie(s).,393474,399031,-2.0998207741097232,53.48795007012616
110250332016,2016-12-18,Dec,Sun,18,Powered 2 Wheeler,Serious,Dark,Male,21-25,Tameside,At 18:52 on Sunday 18 December 2016 a serious collision occured involving 2 vehicle(s) and  1 casualtie(s).,395552,397986,-2.0684883967959,53.47857928691079
110251102016,2016-12-13,Dec,Tues,13,Pedestrian,Serious,Daylight,Female,56-65,Tameside,At 13:30 on Tuesday 13 December 2016 a serious collision occured involving 1 vehicle(s) and  1 casualtie(s).,400558,396180,-1.993062911059888,53.46236573433085
110251352016,2016-12-22,Dec,Thurs,9,Pedestrian,Slight,Daylight,Male,56-65,Tameside,At 09:25 on Thursday 22 December 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,392581,395397,-2.113191868604446,53.45527408614939
110252242016,2016-12-02,Dec,Fri,21,Car,Slight,Dark,Male,46-55,Tameside,At 21:20 on Friday 02 December 2016 a slight collision occured involving 3 vehicle(s) and  1 casualtie(s).,394720,400333,-2.0810649096032194,53.49966722286314
